                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.58579,                0.62417,                0.97917,                0.96205,                0.90397,                0.95437,                0.80719,                      0,                    inf,                      0,               0.007492,               0.007492,               0.007492
                     40,                0.58621,                0.61678,                0.98353,                0.95634,                0.90404,                0.95737,                0.81256,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     41,                 0.5799,                0.61133,                0.97842,                0.93995,                0.89444,                0.95064,                0.81326,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     42,                0.57345,                0.60792,                0.97539,                0.95253,                0.92789,                0.95864,                0.81925,                      0,                    inf,                      0,               0.007294,               0.007294,               0.007294
                     43,                0.57678,                0.59637,                0.97801,                0.93374,                0.92269,                0.95915,                0.81421,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     44,                0.57823,                0.60075,                 0.9801,                0.95824,                0.91471,                0.95962,                0.81559,                      0,                    inf,                      0,               0.007162,               0.007162,               0.007162
                     45,                0.57393,                0.59318,                 0.9713,                0.94482,                0.90089,                 0.9606,                0.82199,                      0,                    inf,                      0,               0.007096,               0.007096,               0.007096
                     46,                0.56681,                0.58839,                0.97029,                0.95322,                0.89999,                0.95785,                0.81855,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     47,                0.57616,                0.58645,                0.97519,                0.95102,                0.92433,                0.96273,                0.82075,                      0,                    inf,                      0,               0.006964,               0.006964,               0.006964
                     48,                0.56459,                0.58053,                0.97008,                0.96074,                0.90294,                0.95975,                0.81735,                      0,                    inf,                      0,               0.006898,               0.006898,               0.006898
                     49,                0.55623,                0.58435,                0.96813,                0.95287,                0.92268,                0.95849,                0.81695,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     50,                0.56898,                0.56802,                0.97105,                0.96464,                0.90755,                0.96245,                0.82822,                      0,                    inf,                      0,               0.006766,               0.006766,               0.006766
                     51,                0.56826,                0.56736,                0.97122,                0.94466,                0.92619,                0.95969,                0.82068,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     52,                0.56474,                0.58055,                0.97042,                0.94567,                0.91627,                0.96152,                0.82219,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     53,                0.56581,                0.55813,                0.96635,                0.95461,                0.93258,                0.96663,                0.82908,                      0,                    inf,                      0,               0.006568,               0.006568,               0.006568
                     54,                0.55361,                0.56358,                0.96784,                0.95578,                0.91559,                0.96288,                0.82038,                      0,                    inf,                      0,               0.006502,               0.006502,               0.006502
                     55,                0.55619,                0.56055,                0.96449,                0.93419,                0.93447,                0.96124,                0.82016,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     56,                0.55423,                 0.5555,                0.96644,                0.94607,                0.92387,                0.96598,                0.82476,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     57,                0.55399,                0.55216,                0.96413,                0.95311,                0.92383,                0.96397,                0.82996,                      0,                    inf,                      0,               0.006304,               0.006304,               0.006304
                     58,                0.54967,                0.54004,                0.96802,                 0.9594,                0.93281,                0.96461,                0.83318,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     59,                0.54817,                 0.5378,                0.96604,                0.93647,                 0.9231,                0.96299,                0.82862,                      0,                    inf,                      0,               0.006172,               0.006172,               0.006172
                     60,                0.53841,                0.52836,                0.95957,                 0.9574,                0.93276,                 0.9664,                0.83162,                      0,                    inf,                      0,               0.006106,               0.006106,               0.006106
                     61,                0.53409,                0.52767,                0.96111,                0.94517,                0.93312,                 0.9615,                0.82393,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     62,                0.54197,                0.52408,                 0.9575,                0.95587,                0.94265,                0.96958,                0.83697,                      0,                    inf,                      0,               0.005974,               0.005974,               0.005974
                     63,                0.54123,                 0.5181,                0.95779,                0.96634,                0.93087,                0.96599,                0.83289,                      0,                    inf,                      0,               0.005908,               0.005908,               0.005908
                     64,                0.53578,                0.52306,                 0.9594,                0.96175,                0.93093,                0.97059,                0.83375,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     65,                0.52977,                0.52088,                0.95579,                0.94083,                0.94491,                0.96466,                0.83832,                      0,                    inf,                      0,               0.005776,               0.005776,               0.005776
                     66,                0.53971,                0.51476,                0.95681,                0.94649,                0.93129,                0.96237,                0.82663,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     67,                 0.5351,                0.51787,                0.95245,                0.94711,                 0.9389,                0.96601,                0.83525,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     68,                0.53079,                0.51953,                0.95478,                0.96685,                0.93846,                0.96834,                0.83426,                      0,                    inf,                      0,               0.005578,               0.005578,               0.005578
                     69,                0.53274,                0.52317,                0.95876,                0.96365,                0.93701,                0.97181,                0.83509,                      0,                    inf,                      0,               0.005512,               0.005512,               0.005512
                     70,                0.53655,                0.51364,                0.95514,                0.96037,                0.94049,                0.96785,                0.83422,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
